"id","trial","type","time","valid"
13,7,"stop","Thu Jun 09 2022 15:33:29 GMT-0400 (Eastern Daylight Saving Time)",TRUE
12,7,"start","Thu Jun 09 2022 15:33:08 GMT-0400 (Eastern Daylight Saving Time)",TRUE
11,6,"stop","Thu Jun 09 2022 15:32:59 GMT-0400 (Eastern Daylight Saving Time)",TRUE
10,6,"start","Thu Jun 09 2022 15:32:33 GMT-0400 (Eastern Daylight Saving Time)",TRUE
9,5,"stop","Thu Jun 09 2022 15:32:12 GMT-0400 (Eastern Daylight Saving Time)",TRUE
8,5,"start","Thu Jun 09 2022 15:31:45 GMT-0400 (Eastern Daylight Saving Time)",TRUE
7,4,"stop","Thu Jun 09 2022 15:31:13 GMT-0400 (Eastern Daylight Saving Time)",TRUE
6,4,"start","Thu Jun 09 2022 15:30:49 GMT-0400 (Eastern Daylight Saving Time)",TRUE
5,3,"stop","Thu Jun 09 2022 15:30:33 GMT-0400 (Eastern Daylight Saving Time)",TRUE
4,3,"start","Thu Jun 09 2022 15:30:08 GMT-0400 (Eastern Daylight Saving Time)",TRUE
3,2,"stop","Thu Jun 09 2022 15:29:47 GMT-0400 (Eastern Daylight Saving Time)",TRUE
2,2,"start","Thu Jun 09 2022 15:29:33 GMT-0400 (Eastern Daylight Saving Time)",TRUE
1,1,"stop","Thu Jun 09 2022 15:29:19 GMT-0400 (Eastern Daylight Saving Time)",TRUE
0,1,"start","Thu Jun 09 2022 15:29:05 GMT-0400 (Eastern Daylight Saving Time)",TRUE
